"sample_id","code","target_date","period","true_price","price_day_ahead_0.05","price_day_ahead_0.5","price_day_ahead_0.95"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","1","312.5","295.6511365370701","318.9182885435412","323.06463581151485"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","2","317.5","274.45338662314526","315.4586960872848","368.9552073506294"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","3","317.5","257.8769828208315","315.32404395561974","349.99166056756576"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","4","320.0","256.27500657499195","313.36729077401463","350.21667107526986"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","5","322.457","256.838265323729","308.8818191515687","336.51798009636326"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","6","320.0","262.1137680108107","308.0392094802199","330.96039346775405"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","7","320.0","263.7484585160344","305.84524434405205","328.58728631504744"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","8","317.5","257.74821999571645","303.10956226017305","335.40193944679436"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","9","315.0","276.2088262160048","304.8775829187902","336.6050712282823"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","10","312.5","244.30121097242358","295.207629816468","335.9862691280411"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","11","315.0","254.94023758815925","294.7128736277571","328.0799415853743"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","12","315.0","261.249986631108","298.2079370697265","325.69168917770696"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","13","320.0","257.7721620000503","304.5510163621255","328.1730176590244"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","14","320.0","265.852365188144","313.04702874233084","369.54200206487405"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","15","325.0","266.5884882909716","315.6141018218684","372.59830106480996"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","16","330.0","271.5200876488963","323.10502477045674","407.0371826491372"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","17","347.559","275.1674340171106","328.1798392057998","543.0079127816545"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","18","337.466","263.2965062789077","321.8024516728219","595.0828634905907"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","19","329.988","259.55389929679774","315.94779735933645","636.802339048274"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","20","330.0","251.42597886387296","314.47804598346","484.7734942838275"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","21","325.0","249.65873551456957","310.73759277854566","472.3681500000787"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","22","320.0","252.60860085820784","309.714906975344","509.8914389268568"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","23","320.0","145.06541849831848","298.24070116403817","413.1751108709847"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","24","322.5","260.39587445762805","314.8590986822604","411.79470475924205"
"DEMO_UNIT_2026-02-05","DEMO_UNIT","2026-02-05","25","315.0","256.2204118994402","294.1965276854801","380.6270712696525"
